id,cert,domain,difficulty,scenarioOrg,stem,A,B,C,D,answer,explanation,tags
sc300-d2-q41,SC-300,Implement authentication and access management,easy,ClearVault Finance,ClearVault Finance is working in a secure Azure landing zone. The security lead needs to respond quickly when user risk or account status changes. Which action best satisfies the requirement while following least privilege?,increase token lifetime,disable session controls,use CAE-capable sessions and supported Conditional Access controls,use a static group only,C,"The best answer is to use CAE-capable sessions and supported Conditional Access controls. This directly addresses Continuous Access Evaluation, keeps permissions scoped, and matches the exam objective for Implement authentication and access management.","cae, continuous, domain-2"
sc300-d2-q42,SC-300,Implement authentication and access management,medium,Helix x Pulse Networks,"During a review at Helix x Pulse Networks, auditors found a gap related to Global Secure Access. You must fix it without adding unnecessary standing access. What should you do?",publish the app with a public IP only,bypass Conditional Access,use storage SAS tokens,configure the appropriate Global Secure Access traffic profile and client,D,"The best answer is to configure the appropriate Global Secure Access traffic profile and client. This directly addresses Global Secure Access, keeps permissions scoped, and matches the exam objective for Implement authentication and access management.","global-secure-access, global, domain-2"
sc300-d2-q43,SC-300,Implement authentication and access management,medium,Nexus Financial,"A change request at Nexus Financial says: ""move users to stronger authentication methods."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",enable the authentication methods policy and registration campaign,turn on legacy per-user MFA only,disable SSPR registration,use password hash sync as MFA,A,"The best answer is to enable the authentication methods policy and registration campaign. This directly addresses authentication methods and MFA, keeps permissions scoped, and matches the exam objective for Implement authentication and access management.","auth-methods, authentication, domain-2"
sc300-d2-q44,SC-300,Implement authentication and access management,hard,FortisAid Healthcare,"FortisAid Healthcare has a production issue involving Temporary Access Pass onboarding. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",email the user's password,issue a time-limited Temporary Access Pass,make the account exempt from MFA forever,create a guest account instead,B,"The best answer is to issue a time-limited Temporary Access Pass. This directly addresses Temporary Access Pass onboarding, keeps permissions scoped, and matches the exam objective for Implement authentication and access management. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","temporary-access-pass, temporary, domain-2"
sc300-d2-q45,SC-300,Implement authentication and access management,medium,ClearVault Finance,You are designing controls for ClearVault Finance. The requirement is to require strong controls without locking out emergency accounts. Which implementation is the most appropriate?,target all users including break-glass,use a storage firewall,create a Conditional Access policy with exclusions for break-glass accounts,assign Global Administrator permanently,C,"The best answer is to create a Conditional Access policy with exclusions for break-glass accounts. This directly addresses Conditional Access design, keeps permissions scoped, and matches the exam objective for Implement authentication and access management.","conditional-access, conditional, domain-2"
sc300-d2-q46,SC-300,Implement authentication and access management,easy,Helix x Pulse Networks,Helix x Pulse Networks is working in a post-acquisition identity consolidation. The security lead needs to respond automatically to risky users and risky sign-ins. Which action best satisfies the requirement while following least privilege?,use only audit logs,disable sign-in logs,create an access package,configure user risk and sign-in risk policies with remediation controls,D,"The best answer is to configure user risk and sign-in risk policies with remediation controls. This directly addresses Identity Protection risk policies, keeps permissions scoped, and matches the exam objective for Implement authentication and access management.","identity-protection, identity, domain-2"
sc300-d2-q47,SC-300,Implement authentication and access management,medium,Nexus Financial,"During a review at Nexus Financial, auditors found a gap related to legacy authentication blocking. You must fix it without adding unnecessary standing access. What should you do?",use Conditional Access client app conditions or authentication policy controls,block all trusted locations,delete the users using old clients,turn off company branding,A,"The best answer is to use Conditional Access client app conditions or authentication policy controls. This directly addresses legacy authentication blocking, keeps permissions scoped, and matches the exam objective for Implement authentication and access management.","legacy-auth, legacy, domain-2"
sc300-d2-q48,SC-300,Implement authentication and access management,medium,FortisAid Healthcare,"A change request at FortisAid Healthcare says: ""respond quickly when user risk or account status changes."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",increase token lifetime,use CAE-capable sessions and supported Conditional Access controls,disable session controls,use a static group only,B,"The best answer is to use CAE-capable sessions and supported Conditional Access controls. This directly addresses Continuous Access Evaluation, keeps permissions scoped, and matches the exam objective for Implement authentication and access management.","cae, continuous, domain-2"
sc300-d2-q49,SC-300,Implement authentication and access management,hard,ClearVault Finance,"ClearVault Finance has a production issue involving Global Secure Access. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",publish the app with a public IP only,bypass Conditional Access,configure the appropriate Global Secure Access traffic profile and client,use storage SAS tokens,C,"The best answer is to configure the appropriate Global Secure Access traffic profile and client. This directly addresses Global Secure Access, keeps permissions scoped, and matches the exam objective for Implement authentication and access management. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","global-secure-access, global, domain-2"
sc300-d2-q50,SC-300,Implement authentication and access management,medium,Helix x Pulse Networks,You are designing controls for Helix x Pulse Networks. The requirement is to move users to stronger authentication methods. Which implementation is the most appropriate?,turn on legacy per-user MFA only,disable SSPR registration,use password hash sync as MFA,enable the authentication methods policy and registration campaign,D,"The best answer is to enable the authentication methods policy and registration campaign. This directly addresses authentication methods and MFA, keeps permissions scoped, and matches the exam objective for Implement authentication and access management.","auth-methods, authentication, domain-2"
sc300-d3-q01,SC-300,Plan and implement workload identities,easy,Helix x Pulse Networks,Helix x Pulse Networks is working in a post-acquisition identity consolidation. The security lead needs to allow a custom app to sign in users securely. Which action best satisfies the requirement while following least privilege?,"register the app and configure platform, redirect URI, and permissions",create a normal user account for the app,store an admin password in code,use a dynamic group as the app identity,A,"The best answer is to register the app and configure platform, redirect URI, and permissions. This directly addresses app registrations and redirect URIs, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","app-registration, app, domain-3"
sc300-d3-q02,SC-300,Plan and implement workload identities,medium,Nexus Financial,"During a review at Nexus Financial, auditors found a gap related to API permissions and consent. You must fix it without adding unnecessary standing access. What should you do?",grant Directory.ReadWrite.All by default,grant only required delegated or application API permissions and require admin consent when appropriate,allow all users to consent to high-risk apps,use a Conditional Access location only,B,"The best answer is to grant only required delegated or application API permissions and require admin consent when appropriate. This directly addresses API permissions and consent, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","api-permissions, api, domain-3"
sc300-d3-q03,SC-300,Plan and implement workload identities,medium,FortisAid Healthcare,"A change request at FortisAid Healthcare says: ""configure a third-party SaaS app for centralized sign-in."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",create a storage account key,use Azure Bastion,configure the enterprise application with SAML or OIDC SSO,create local accounts in the SaaS app only,C,"The best answer is to configure the enterprise application with SAML or OIDC SSO. This directly addresses enterprise applications and SSO, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","enterprise-sso, enterprise, domain-3"
sc300-d3-q04,SC-300,Plan and implement workload identities,hard,ClearVault Finance,"ClearVault Finance has a production issue involving managed identities. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",hardcode a client secret,grant Owner on the subscription,use a personal administrator account,enable a managed identity and assign the minimum required RBAC role or vault permission,D,"The best answer is to enable a managed identity and assign the minimum required RBAC role or vault permission. This directly addresses managed identities, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","managed-identity, managed, domain-3"
sc300-d3-q05,SC-300,Plan and implement workload identities,medium,Helix x Pulse Networks,You are designing controls for Helix x Pulse Networks. The requirement is to secure automation used by deployment pipelines. Which implementation is the most appropriate?,use a service principal with scoped RBAC and certificate or federated credential,reuse a human admin account,assign permanent Global Administrator,store secrets in the repo,A,"The best answer is to use a service principal with scoped RBAC and certificate or federated credential. This directly addresses service principals, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","service-principal, service, domain-3"
sc300-d3-q06,SC-300,Plan and implement workload identities,easy,Nexus Financial,Nexus Financial is working in a regulated finance environment. The security lead needs to detect suspicious sign-ins from service principals. Which action best satisfies the requirement while following least privilege?,review only interactive user sign-ins,review workload identity sign-in logs and apply workload identity protections,disable audit logging,rename the app registration,B,"The best answer is to review workload identity sign-in logs and apply workload identity protections. This directly addresses workload identity monitoring, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","workload-risk, workload, domain-3"
sc300-d3-q07,SC-300,Plan and implement workload identities,medium,FortisAid Healthcare,"During a review at FortisAid Healthcare, auditors found a gap related to app registrations and redirect URIs. You must fix it without adding unnecessary standing access. What should you do?",create a normal user account for the app,store an admin password in code,"register the app and configure platform, redirect URI, and permissions",use a dynamic group as the app identity,C,"The best answer is to register the app and configure platform, redirect URI, and permissions. This directly addresses app registrations and redirect URIs, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","app-registration, app, domain-3"
sc300-d3-q08,SC-300,Plan and implement workload identities,medium,ClearVault Finance,"A change request at ClearVault Finance says: ""let an app call Microsoft Graph with least privilege."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",grant Directory.ReadWrite.All by default,allow all users to consent to high-risk apps,use a Conditional Access location only,grant only required delegated or application API permissions and require admin consent when appropriate,D,"The best answer is to grant only required delegated or application API permissions and require admin consent when appropriate. This directly addresses API permissions and consent, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","api-permissions, api, domain-3"
sc300-d3-q09,SC-300,Plan and implement workload identities,hard,Helix x Pulse Networks,"Helix x Pulse Networks has a production issue involving enterprise applications and SSO. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",configure the enterprise application with SAML or OIDC SSO,create a storage account key,use Azure Bastion,create local accounts in the SaaS app only,A,"The best answer is to configure the enterprise application with SAML or OIDC SSO. This directly addresses enterprise applications and SSO, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","enterprise-sso, enterprise, domain-3"
sc300-d3-q10,SC-300,Plan and implement workload identities,medium,Nexus Financial,You are designing controls for Nexus Financial. The requirement is to let an Azure workload access Key Vault without storing a secret. Which implementation is the most appropriate?,hardcode a client secret,enable a managed identity and assign the minimum required RBAC role or vault permission,grant Owner on the subscription,use a personal administrator account,B,"The best answer is to enable a managed identity and assign the minimum required RBAC role or vault permission. This directly addresses managed identities, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","managed-identity, managed, domain-3"
sc300-d3-q11,SC-300,Plan and implement workload identities,easy,FortisAid Healthcare,FortisAid Healthcare is working in a healthcare tenant with sensitive patient data. The security lead needs to secure automation used by deployment pipelines. Which action best satisfies the requirement while following least privilege?,reuse a human admin account,assign permanent Global Administrator,use a service principal with scoped RBAC and certificate or federated credential,store secrets in the repo,C,"The best answer is to use a service principal with scoped RBAC and certificate or federated credential. This directly addresses service principals, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","service-principal, service, domain-3"
sc300-d3-q12,SC-300,Plan and implement workload identities,medium,ClearVault Finance,"During a review at ClearVault Finance, auditors found a gap related to workload identity monitoring. You must fix it without adding unnecessary standing access. What should you do?",review only interactive user sign-ins,disable audit logging,rename the app registration,review workload identity sign-in logs and apply workload identity protections,D,"The best answer is to review workload identity sign-in logs and apply workload identity protections. This directly addresses workload identity monitoring, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","workload-risk, workload, domain-3"
sc300-d3-q13,SC-300,Plan and implement workload identities,medium,Helix x Pulse Networks,"A change request at Helix x Pulse Networks says: ""allow a custom app to sign in users securely."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?","register the app and configure platform, redirect URI, and permissions",create a normal user account for the app,store an admin password in code,use a dynamic group as the app identity,A,"The best answer is to register the app and configure platform, redirect URI, and permissions. This directly addresses app registrations and redirect URIs, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","app-registration, app, domain-3"
sc300-d3-q14,SC-300,Plan and implement workload identities,hard,Nexus Financial,"Nexus Financial has a production issue involving API permissions and consent. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",grant Directory.ReadWrite.All by default,grant only required delegated or application API permissions and require admin consent when appropriate,allow all users to consent to high-risk apps,use a Conditional Access location only,B,"The best answer is to grant only required delegated or application API permissions and require admin consent when appropriate. This directly addresses API permissions and consent, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","api-permissions, api, domain-3"
sc300-d3-q15,SC-300,Plan and implement workload identities,medium,FortisAid Healthcare,You are designing controls for FortisAid Healthcare. The requirement is to configure a third-party SaaS app for centralized sign-in. Which implementation is the most appropriate?,create a storage account key,use Azure Bastion,configure the enterprise application with SAML or OIDC SSO,create local accounts in the SaaS app only,C,"The best answer is to configure the enterprise application with SAML or OIDC SSO. This directly addresses enterprise applications and SSO, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","enterprise-sso, enterprise, domain-3"
sc300-d3-q16,SC-300,Plan and implement workload identities,easy,ClearVault Finance,ClearVault Finance is working in a secure Azure landing zone. The security lead needs to let an Azure workload access Key Vault without storing a secret. Which action best satisfies the requirement while following least privilege?,hardcode a client secret,grant Owner on the subscription,use a personal administrator account,enable a managed identity and assign the minimum required RBAC role or vault permission,D,"The best answer is to enable a managed identity and assign the minimum required RBAC role or vault permission. This directly addresses managed identities, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","managed-identity, managed, domain-3"
sc300-d3-q17,SC-300,Plan and implement workload identities,medium,Helix x Pulse Networks,"During a review at Helix x Pulse Networks, auditors found a gap related to service principals. You must fix it without adding unnecessary standing access. What should you do?",use a service principal with scoped RBAC and certificate or federated credential,reuse a human admin account,assign permanent Global Administrator,store secrets in the repo,A,"The best answer is to use a service principal with scoped RBAC and certificate or federated credential. This directly addresses service principals, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","service-principal, service, domain-3"
sc300-d3-q18,SC-300,Plan and implement workload identities,medium,Nexus Financial,"A change request at Nexus Financial says: ""detect suspicious sign-ins from service principals."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",review only interactive user sign-ins,review workload identity sign-in logs and apply workload identity protections,disable audit logging,rename the app registration,B,"The best answer is to review workload identity sign-in logs and apply workload identity protections. This directly addresses workload identity monitoring, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","workload-risk, workload, domain-3"
sc300-d3-q19,SC-300,Plan and implement workload identities,hard,FortisAid Healthcare,"FortisAid Healthcare has a production issue involving app registrations and redirect URIs. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",create a normal user account for the app,store an admin password in code,"register the app and configure platform, redirect URI, and permissions",use a dynamic group as the app identity,C,"The best answer is to register the app and configure platform, redirect URI, and permissions. This directly addresses app registrations and redirect URIs, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","app-registration, app, domain-3"
sc300-d3-q20,SC-300,Plan and implement workload identities,medium,ClearVault Finance,You are designing controls for ClearVault Finance. The requirement is to let an app call Microsoft Graph with least privilege. Which implementation is the most appropriate?,grant Directory.ReadWrite.All by default,allow all users to consent to high-risk apps,use a Conditional Access location only,grant only required delegated or application API permissions and require admin consent when appropriate,D,"The best answer is to grant only required delegated or application API permissions and require admin consent when appropriate. This directly addresses API permissions and consent, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","api-permissions, api, domain-3"
sc300-d3-q21,SC-300,Plan and implement workload identities,easy,Helix x Pulse Networks,Helix x Pulse Networks is working in a post-acquisition identity consolidation. The security lead needs to configure a third-party SaaS app for centralized sign-in. Which action best satisfies the requirement while following least privilege?,configure the enterprise application with SAML or OIDC SSO,create a storage account key,use Azure Bastion,create local accounts in the SaaS app only,A,"The best answer is to configure the enterprise application with SAML or OIDC SSO. This directly addresses enterprise applications and SSO, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","enterprise-sso, enterprise, domain-3"
sc300-d3-q22,SC-300,Plan and implement workload identities,medium,Nexus Financial,"During a review at Nexus Financial, auditors found a gap related to managed identities. You must fix it without adding unnecessary standing access. What should you do?",hardcode a client secret,enable a managed identity and assign the minimum required RBAC role or vault permission,grant Owner on the subscription,use a personal administrator account,B,"The best answer is to enable a managed identity and assign the minimum required RBAC role or vault permission. This directly addresses managed identities, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","managed-identity, managed, domain-3"
sc300-d3-q23,SC-300,Plan and implement workload identities,medium,FortisAid Healthcare,"A change request at FortisAid Healthcare says: ""secure automation used by deployment pipelines."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",reuse a human admin account,assign permanent Global Administrator,use a service principal with scoped RBAC and certificate or federated credential,store secrets in the repo,C,"The best answer is to use a service principal with scoped RBAC and certificate or federated credential. This directly addresses service principals, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","service-principal, service, domain-3"
sc300-d3-q24,SC-300,Plan and implement workload identities,hard,ClearVault Finance,"ClearVault Finance has a production issue involving workload identity monitoring. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",review only interactive user sign-ins,disable audit logging,rename the app registration,review workload identity sign-in logs and apply workload identity protections,D,"The best answer is to review workload identity sign-in logs and apply workload identity protections. This directly addresses workload identity monitoring, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","workload-risk, workload, domain-3"
sc300-d3-q25,SC-300,Plan and implement workload identities,medium,Helix x Pulse Networks,You are designing controls for Helix x Pulse Networks. The requirement is to allow a custom app to sign in users securely. Which implementation is the most appropriate?,"register the app and configure platform, redirect URI, and permissions",create a normal user account for the app,store an admin password in code,use a dynamic group as the app identity,A,"The best answer is to register the app and configure platform, redirect URI, and permissions. This directly addresses app registrations and redirect URIs, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","app-registration, app, domain-3"
sc300-d3-q26,SC-300,Plan and implement workload identities,easy,Nexus Financial,Nexus Financial is working in a regulated finance environment. The security lead needs to let an app call Microsoft Graph with least privilege. Which action best satisfies the requirement while following least privilege?,grant Directory.ReadWrite.All by default,grant only required delegated or application API permissions and require admin consent when appropriate,allow all users to consent to high-risk apps,use a Conditional Access location only,B,"The best answer is to grant only required delegated or application API permissions and require admin consent when appropriate. This directly addresses API permissions and consent, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","api-permissions, api, domain-3"
sc300-d3-q27,SC-300,Plan and implement workload identities,medium,FortisAid Healthcare,"During a review at FortisAid Healthcare, auditors found a gap related to enterprise applications and SSO. You must fix it without adding unnecessary standing access. What should you do?",create a storage account key,use Azure Bastion,configure the enterprise application with SAML or OIDC SSO,create local accounts in the SaaS app only,C,"The best answer is to configure the enterprise application with SAML or OIDC SSO. This directly addresses enterprise applications and SSO, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","enterprise-sso, enterprise, domain-3"
sc300-d3-q28,SC-300,Plan and implement workload identities,medium,ClearVault Finance,"A change request at ClearVault Finance says: ""let an Azure workload access Key Vault without storing a secret."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",hardcode a client secret,grant Owner on the subscription,use a personal administrator account,enable a managed identity and assign the minimum required RBAC role or vault permission,D,"The best answer is to enable a managed identity and assign the minimum required RBAC role or vault permission. This directly addresses managed identities, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","managed-identity, managed, domain-3"
sc300-d3-q29,SC-300,Plan and implement workload identities,hard,Helix x Pulse Networks,"Helix x Pulse Networks has a production issue involving service principals. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",use a service principal with scoped RBAC and certificate or federated credential,reuse a human admin account,assign permanent Global Administrator,store secrets in the repo,A,"The best answer is to use a service principal with scoped RBAC and certificate or federated credential. This directly addresses service principals, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","service-principal, service, domain-3"
sc300-d3-q30,SC-300,Plan and implement workload identities,medium,Nexus Financial,You are designing controls for Nexus Financial. The requirement is to detect suspicious sign-ins from service principals. Which implementation is the most appropriate?,review only interactive user sign-ins,review workload identity sign-in logs and apply workload identity protections,disable audit logging,rename the app registration,B,"The best answer is to review workload identity sign-in logs and apply workload identity protections. This directly addresses workload identity monitoring, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","workload-risk, workload, domain-3"
sc300-d3-q31,SC-300,Plan and implement workload identities,easy,FortisAid Healthcare,FortisAid Healthcare is working in a healthcare tenant with sensitive patient data. The security lead needs to allow a custom app to sign in users securely. Which action best satisfies the requirement while following least privilege?,create a normal user account for the app,store an admin password in code,"register the app and configure platform, redirect URI, and permissions",use a dynamic group as the app identity,C,"The best answer is to register the app and configure platform, redirect URI, and permissions. This directly addresses app registrations and redirect URIs, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","app-registration, app, domain-3"
sc300-d3-q32,SC-300,Plan and implement workload identities,medium,ClearVault Finance,"During a review at ClearVault Finance, auditors found a gap related to API permissions and consent. You must fix it without adding unnecessary standing access. What should you do?",grant Directory.ReadWrite.All by default,allow all users to consent to high-risk apps,use a Conditional Access location only,grant only required delegated or application API permissions and require admin consent when appropriate,D,"The best answer is to grant only required delegated or application API permissions and require admin consent when appropriate. This directly addresses API permissions and consent, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","api-permissions, api, domain-3"
sc300-d3-q33,SC-300,Plan and implement workload identities,medium,Helix x Pulse Networks,"A change request at Helix x Pulse Networks says: ""configure a third-party SaaS app for centralized sign-in."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",configure the enterprise application with SAML or OIDC SSO,create a storage account key,use Azure Bastion,create local accounts in the SaaS app only,A,"The best answer is to configure the enterprise application with SAML or OIDC SSO. This directly addresses enterprise applications and SSO, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","enterprise-sso, enterprise, domain-3"
sc300-d3-q34,SC-300,Plan and implement workload identities,hard,Nexus Financial,"Nexus Financial has a production issue involving managed identities. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",hardcode a client secret,enable a managed identity and assign the minimum required RBAC role or vault permission,grant Owner on the subscription,use a personal administrator account,B,"The best answer is to enable a managed identity and assign the minimum required RBAC role or vault permission. This directly addresses managed identities, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","managed-identity, managed, domain-3"
sc300-d3-q35,SC-300,Plan and implement workload identities,medium,FortisAid Healthcare,You are designing controls for FortisAid Healthcare. The requirement is to secure automation used by deployment pipelines. Which implementation is the most appropriate?,reuse a human admin account,assign permanent Global Administrator,use a service principal with scoped RBAC and certificate or federated credential,store secrets in the repo,C,"The best answer is to use a service principal with scoped RBAC and certificate or federated credential. This directly addresses service principals, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","service-principal, service, domain-3"
sc300-d3-q36,SC-300,Plan and implement workload identities,easy,ClearVault Finance,ClearVault Finance is working in a secure Azure landing zone. The security lead needs to detect suspicious sign-ins from service principals. Which action best satisfies the requirement while following least privilege?,review only interactive user sign-ins,disable audit logging,rename the app registration,review workload identity sign-in logs and apply workload identity protections,D,"The best answer is to review workload identity sign-in logs and apply workload identity protections. This directly addresses workload identity monitoring, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","workload-risk, workload, domain-3"
sc300-d3-q37,SC-300,Plan and implement workload identities,medium,Helix x Pulse Networks,"During a review at Helix x Pulse Networks, auditors found a gap related to app registrations and redirect URIs. You must fix it without adding unnecessary standing access. What should you do?","register the app and configure platform, redirect URI, and permissions",create a normal user account for the app,store an admin password in code,use a dynamic group as the app identity,A,"The best answer is to register the app and configure platform, redirect URI, and permissions. This directly addresses app registrations and redirect URIs, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","app-registration, app, domain-3"
sc300-d3-q38,SC-300,Plan and implement workload identities,medium,Nexus Financial,"A change request at Nexus Financial says: ""let an app call Microsoft Graph with least privilege."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",grant Directory.ReadWrite.All by default,grant only required delegated or application API permissions and require admin consent when appropriate,allow all users to consent to high-risk apps,use a Conditional Access location only,B,"The best answer is to grant only required delegated or application API permissions and require admin consent when appropriate. This directly addresses API permissions and consent, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","api-permissions, api, domain-3"
sc300-d3-q39,SC-300,Plan and implement workload identities,hard,FortisAid Healthcare,"FortisAid Healthcare has a production issue involving enterprise applications and SSO. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",create a storage account key,use Azure Bastion,configure the enterprise application with SAML or OIDC SSO,create local accounts in the SaaS app only,C,"The best answer is to configure the enterprise application with SAML or OIDC SSO. This directly addresses enterprise applications and SSO, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","enterprise-sso, enterprise, domain-3"
sc300-d3-q40,SC-300,Plan and implement workload identities,medium,ClearVault Finance,You are designing controls for ClearVault Finance. The requirement is to let an Azure workload access Key Vault without storing a secret. Which implementation is the most appropriate?,hardcode a client secret,grant Owner on the subscription,use a personal administrator account,enable a managed identity and assign the minimum required RBAC role or vault permission,D,"The best answer is to enable a managed identity and assign the minimum required RBAC role or vault permission. This directly addresses managed identities, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","managed-identity, managed, domain-3"
sc300-d3-q41,SC-300,Plan and implement workload identities,easy,Helix x Pulse Networks,Helix x Pulse Networks is working in a post-acquisition identity consolidation. The security lead needs to secure automation used by deployment pipelines. Which action best satisfies the requirement while following least privilege?,use a service principal with scoped RBAC and certificate or federated credential,reuse a human admin account,assign permanent Global Administrator,store secrets in the repo,A,"The best answer is to use a service principal with scoped RBAC and certificate or federated credential. This directly addresses service principals, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","service-principal, service, domain-3"
sc300-d3-q42,SC-300,Plan and implement workload identities,medium,Nexus Financial,"During a review at Nexus Financial, auditors found a gap related to workload identity monitoring. You must fix it without adding unnecessary standing access. What should you do?",review only interactive user sign-ins,review workload identity sign-in logs and apply workload identity protections,disable audit logging,rename the app registration,B,"The best answer is to review workload identity sign-in logs and apply workload identity protections. This directly addresses workload identity monitoring, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","workload-risk, workload, domain-3"
sc300-d3-q43,SC-300,Plan and implement workload identities,medium,FortisAid Healthcare,"A change request at FortisAid Healthcare says: ""allow a custom app to sign in users securely."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",create a normal user account for the app,store an admin password in code,"register the app and configure platform, redirect URI, and permissions",use a dynamic group as the app identity,C,"The best answer is to register the app and configure platform, redirect URI, and permissions. This directly addresses app registrations and redirect URIs, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities.","app-registration, app, domain-3"
sc300-d3-q44,SC-300,Plan and implement workload identities,hard,ClearVault Finance,"ClearVault Finance has a production issue involving API permissions and consent. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",grant Directory.ReadWrite.All by default,allow all users to consent to high-risk apps,use a Conditional Access location only,grant only required delegated or application API permissions and require admin consent when appropriate,D,"The best answer is to grant only required delegated or application API permissions and require admin consent when appropriate. This directly addresses API permissions and consent, keeps permissions scoped, and matches the exam objective for Plan and implement workload identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","api-permissions, api, domain-3"
